keyword,volume,kd,tier,intent,cpc,density,source
"prop firm sans challenge",50,0.45,20,Commercial,0.18,0.27,unknown
"challenge prop firm",50,0.45,20,Commercial,0.27,0.63,unknown
"free prop firm account",50,0.09,20,Commercial,0.09,0.09,unknown
"one step prop firm",50,0.6,20,Commercial,0.13,0.07,unknown
"cfd prop firm",50,0.17,20,Informational,0.11,0.11,unknown
"biggest prop firm payout",50,0.18,20,Informational,0.18,0.18,unknown
"consistency rule prop firm",50,0.45,20,Informational,0.36,0.36,unknown
"what is consistency rule in prop firm",50,0.09,20,Informational,0.09,0.19,unknown
"free prop firm",50,0.23,20,Informational,0.11,0.11,unknown
"future elite prop firm",50,0.13,20,Navigational,0.13,1,unknown
"fastest payout prop firm",50,0.36,20,Informational,0.18,0.27,unknown
"prop trading firm jobs",50,1,20,Commercial,0.18,0.18,unknown
"prop firm compare",50,0.11,20,Commercial,0.11,0.11,unknown
"prop firm daily payout",50,0.11,20,Informational,0.11,0.11,unknown
"cheap fx prop firm",50,0.21,20,Commercial,1,1,unknown
"prop firm deals",50,0.07,20,Commercial,0.07,0.26,unknown
"what happens when you pass a prop firm challenge",40,0.11,20,Informational,0.52,1,unknown
"prop firm challenge free",40,0.18,20,Informational,0.18,0.18,unknown
"1 step challenge prop firm",40,0.18,20,Informational,0.18,0.18,unknown
"$1 million prop firm challenge",40,0.18,20,Informational,0.18,1,unknown
"prop firm consistency rule",40,0.18,20,Informational,0.18,0.27,unknown
"prop firm evaluation",40,0.09,20,Informational,0.09,0.09,unknown
"prop firm capital",40,0.09,20,Informational,0.09,0.09,unknown
"prop firm discount",40,0.11,20,Commercial,0.11,0.11,unknown
"prop firm free account",40,1,20,Commercial,0.14,0,unknown
"risk management prop firm",40,0.78,20,Informational,0.14,0,unknown
"ospreyfx prop firm",40,0.77,20,Navigational,0.44,0.77,unknown
"prop firm trade copier",40,0.28,20,Informational,0.5,0.28,unknown
"tradelocker prop firm",40,0.14,20,Transactional,0,0.14,unknown
"atfx prop firm",40,0.28,20,Navigational,0,0.28,unknown
"forex prop firm review",40,1,20,Commercial,0.44,0,unknown
"on demand payout prop firm",40,0.18,20,Commercial,0.18,0.18,unknown
"start prop firm",40,0.29,20,Informational,0.29,0.29,unknown
"one phase prop firm",40,0.09,20,Commercial,0.18,0.18,unknown
"prop firm canada",40,0.09,20,Commercial,0.09,0.18,unknown
"free trial prop firm",40,0.11,20,Commercial,0.17,0.23,unknown
"sway markets prop firm",40,0.44,20,Informational,0.37,0.37,unknown
"best prop firm for payouts",40,1,20,Commercial,0.42,0.28,unknown
"thrive prop firm",40,0,20,Informational,0.09,0.09,unknown
"ftuk prop firm review",40,0.18,20,Commercial,0.18,0.18,unknown
"how to open a prop firm",40,0.6,20,Informational,0.6,0.4,unknown
"prop firm challenges",40,0.18,20,Informational,0.18,0.18,unknown
"what is a funded account for trading",30,0.22,20,Informational,0.22,0.77,unknown
"how to pass prop firm challenge",30,0.29,20,Informational,0.29,0.43,unknown
"pass my prop firm challenge",30,0.17,20,Informational,0.17,0.17,unknown
"no trailing drawdown prop firm",30,0.39,20,Informational,0.39,0.39,unknown
"prop firm affiliate",30,1,20,Informational,0,1,unknown
"prop firm management",30,0.39,20,Informational,0.39,0.39,unknown
"s2f prop firm",30,0,20,Commercial,0,0,unknown
"what is trailing drawdown in prop firm",30,0.22,20,Informational,0.22,0.44,unknown
"cheapest funded prop firm",30,0.18,20,Commercial,0.18,0.18,unknown
"prop firm cheap",30,0.17,20,Commercial,0.17,0.17,unknown
"how to pass prop firm evaluation",30,1,20,Informational,0.22,0.22,unknown
"how to start your own prop firm",30,0.5,20,Informational,0.5,0.5,unknown
"ifunds prop firm",30,0.28,20,Navigational,0.28,0.28,unknown
"create your own prop firm",30,0.28,20,Informational,0.28,0.28,unknown
"tff prop firm",30,0.42,20,Commercial,0.42,0.42,unknown
"how much does a prop firm account cost",30,0.28,20,Informational,0.57,0.28,unknown
"how to start prop firm",30,0.33,20,Informational,0,0,unknown
"instant payout prop firm",30,0.28,20,Commercial,0.71,0.57,unknown
"static drawdown futures prop firm",30,0.5,20,Informational,0.5,0.5,unknown
"prop firm logos",30,0.22,20,Informational,0.22,0.22,unknown
"cheap futures prop firm",30,0,20,Commercial,0.14,1,unknown
"apex prop firm review",30,1,20,Commercial,0.18,0.27,unknown
"arctic funding prop firm",30,0.25,20,Commercial,0.17,0.17,unknown
"blusky prop firm reviews",30,0.14,20,Commercial,1,0.14,unknown
"hft prop firm",30,0,20,Informational,0,0.14,unknown
"liquid markets prop firm",30,1,20,Transactional,1,1,unknown
