keyword,volume,kd,tier,intent,cpc,density,source
"prop firm taxes",90,0.66,50,Informational,0.09,0.52,unknown
"lucid funding prop firm",90,0,50,Navigational,0,0,unknown
"funded account for options trading",70,0.23,50,Commercial,0.23,1,unknown
"what is funded trading",70,0.42,50,Informational,0.07,0.07,unknown
"trading challenges for getting funded",70,0.09,50,Transactional,11,0,unknown
"best prop firm dashboards",70,1,50,Commercial,0.77,0.44,unknown
"think capital prop firm review",70,0.64,50,Commercial,1,1,unknown
"how to choose a prop firm",70,0.21,50,Informational,0.14,1,unknown
"prop firm affiliate program",70,0.02,50,Informational,0.02,0.02,unknown
"prop firm no consistency rule",70,0.09,50,Informational,0.09,0.09,unknown
"prop firm passing services",70,0.64,50,Informational,0,0.17,unknown
"stock options prop firm",70,0.5,50,Commercial,0.64,0.35,unknown
"cheap forex prop firm",70,0.36,50,Commercial,1,1,unknown
"secure the bag prop firm",70,1,50,Informational,0.11,0.11,unknown
"no minimum trading days prop firm",70,0.64,50,Commercial,0.17,0.45,unknown
"start a prop firm",70,0.29,50,Informational,0.29,0.11,unknown
"bluesky prop firm",70,0.81,50,Informational,0.03,0.28,unknown
"e8 prop firm review",70,0.06,50,Commercial,0.06,0.09,unknown
"how to start a prop trading firm",70,0.52,50,Informational,0.29,0.29,unknown
"futures prop firm discounts",70,0.29,50,Commercial,0.29,0.29,unknown
"prop firm payouts",70,0.52,50,Informational,0.64,0.41,unknown
"build your prop firm",70,0.77,50,Informational,1,0.44,unknown
"ftp prop firm",70,0.18,50,Commercial,0.03,0.03,unknown
"fast payout prop firm",70,0.14,50,Commercial,0.33,0.19,unknown
"no consistency rule prop firm",70,0.06,50,Informational,0.06,0.06,unknown
"prop firm jobs",70,0.63,50,Commercial,0.63,0.63,unknown
"prop firm south africa",70,0.07,50,Informational,0.14,1,unknown
"same day payout prop firm",70,0.56,50,Informational,0.33,0.44,unknown
